style,laura_forecast,carolyn_forecast,greg_forecast,wendy_forecast,tom_forecast,wally_forecast,price,average_forecast,standard_deviation,standard_deviation_2
gail,900,1000,900,1300,900,1200,110,1017,194,388
isis,800,700,1000,1600,950,1200,99,1042,323,646
entice,1200,1600,1500,1550,950,1350,80,1358,248,496
assault,2500,1900,2700,2450,2800,2800,90,2525,340,680
teri,800,900,1000,1100,950,1850,123,1100,381,762
electra,2500,1900,1900,2800,1800,2000,173,2150,404,808
stephanie,600,900,1000,1100,950,2125,133,1113,524,1048
seduced,4600,4300,3900,4000,4300,3000,73,4017,556,1112
anita,4400,3300,3500,1500,4200,2875,93,3296,1047,2094
daphne,1700,3500,2600,2600,2300,1600,148,2383,697,1394
